Q (1/A)	 Ref	 dRef (SD)	 dq(FWHM, 1/A)
0.0093795	 0.988306	 0.0605179	 0.00050385
0.00974259	 0.921119	 0.0365982	 0.000523699
0.0101211	 0.970169	 0.0279022	 0.000544377
0.0105156	 1.03374	 0.0278607	 0.000565916
0.0109267	 1.05639	 0.02355	 0.000588351
0.0113551	 0.96544	 0.0195251	 0.000611718
0.0118014	 1.00105	 0.0167006	 0.000636052
0.0122664	 0.969624	 0.0159455	 0.000661393
0.0127508	 0.980355	 0.0140541	 0.000687781
0.0132554	 1.00687	 0.0134523	 0.000715257
0.0137809	 0.977504	 0.0119586	 0.000743866
0.0143282	 0.698901	 0.00829934	 0.000773652
0.0148981	 0.180952	 0.00199667	 0.000804664
0.0154916	 0.0224631	 0.000475784	 0.000836949
0.0161096	 0.0147216	 0.000324668	 0.00087056
0.016753	 0.0168987	 0.000302621	 0.00090555
0.017423	 0.019198	 0.000257591	 0.000941975
0.0181204	 0.0199502	 0.00023124	 0.000979892
0.0188466	 0.01951	 0.000244062	 0.00101936
0.0196025	 0.0179753	 0.000238994	 0.00106045
0.0203894	 0.0173222	 0.000191776	 0.00110321
0.0212085	 0.0151668	 0.000185957	 0.00114773
0.0220612	 0.013463	 0.000146056	 0.00119407
0.0229487	 0.0116684	 0.000124169	 0.0012423
0.0238725	 0.00987475	 0.000111161	 0.0012925
0.0248341	 0.00845056	 0.000110932	 0.00134475
0.0258349	 0.00668498	 8.40481e-05	 0.00139914
0.0268765	 0.00538881	 7.31949e-05	 0.00145575
0.0279607	 0.00427816	 5.45401e-05	 0.00151468
0.029089	 0.00329715	 5.09333e-05	 0.00157601
0.0302633	 0.00256639	 4.06346e-05	 0.00163986
0.0314855	 0.00203243	 3.36143e-05	 0.00170631
0.0327574	 0.00148751	 2.97501e-05	 0.00177547
0.0340812	 0.0011063	 2.5409e-05	 0.00184747
0.0354588	 0.000885117	 2.26964e-05	 0.00192241
0.0368924	 0.000687145	 2.16693e-05	 0.00200042
0.0383844	 0.000521959	 2.04009e-05	 0.00208163
0.039937	 0.000424541	 1.7748e-05	 0.00216616
0.0415528	 0.000346079	 1.602e-05	 0.00225415
0.0432343	 0.000266495	 1.49707e-05	 0.00234576
0.0449841	 0.000199195	 1.35488e-05	 0.00244112
0.0450637	 0.000183993	 2.19565e-05	 0.00243457
0.0468051	 0.000163957	 1.28589e-05	 0.0025404
0.0468684	 0.000161637	 1.59759e-05	 0.00253292
